0.73;-0.12;-0.61;-0.62;-0.48;0.62;
0.18;-0.24;-0.06;-0.62;-0.48;0.62;
0.43;-0.61;0.00;-0.62;-0.47;0.62;
0.06;-0.43;-0.30;-0.61;-0.48;0.62;
-0.18;-0.06;-0.49;-0.62;-0.48;0.61;
0.98;0.12;0.00;-0.62;-0.47;0.62;
-0.37;0.61;-0.67;-0.63;-0.47;0.62;
-0.12;-0.18;-0.06;-0.62;-0.47;0.61;
0.49;0.55;-0.79;-0.63;-0.48;0.62;
0.24;0.37;-0.06;-0.61;-0.49;0.63;
0.30;0.12;-0.37;-0.60;-0.44;0.61;
-0.18;-0.06;0.24;-0.62;-0.49;0.63;
0.00;0.06;0.12;-0.65;-0.50;0.63;
0.43;-0.37;0.18;-0.63;-0.50;0.63;
-0.55;-0.37;0.30;-0.63;-0.52;0.63;
0.55;-0.61;0.79;-0.64;-0.55;0.64;
0.37;-0.67;-0.06;-0.62;-0.47;0.62;
0.37;0.30;-0.43;-0.62;-0.48;0.63;
0.30;0.12;-0.30;-0.62;-0.47;0.63;
0.91;-0.37;-0.12;-0.61;-0.48;0.62;
0.37;-0.43;-0.24;-0.62;-0.47;0.63;
0.55;-0.18;-0.12;-0.61;-0.47;0.63;
0.12;-0.37;-0.12;-0.62;-0.48;0.62;
0.43;-0.06;-0.18;-0.61;-0.47;0.63;
0.00;-0.06;0.06;-0.62;-0.48;0.63;
-0.24;0.00;0.00;-0.62;-0.47;0.63;
0.43;-0.18;0.12;-0.62;-0.47;0.63;
-0.06;0.24;-0.43;-0.62;-0.47;0.63;
0.06;0.00;-0.06;-0.62;-0.48;0.63;
-0.18;0.06;0.24;-0.62;-0.48;0.63;
0.55;-0.49;-0.18;-0.61;-0.48;0.62;
0.24;0.06;-0.30;-0.63;-0.48;0.62;
0.30;0.24;0.37;-0.62;-0.48;0.63;
-0.06;0.18;0.12;-0.62;-0.48;0.62;
0.67;-0.06;-0.18;-0.61;-0.48;0.63;
0.12;0.18;-0.37;-0.61;-0.47;0.62;
0.61;0.00;-0.06;-0.62;-0.48;0.63;
13.05;2.07;15.55;-0.59;-0.49;0.53;
0.18;-0.18;-0.91;-0.62;-0.47;0.62;
0.00;0.18;-0.61;-0.62;-0.47;0.63;
0.24;-0.18;-0.37;-0.62;-0.46;0.63;
0.67;-0.43;-0.49;-0.62;-0.47;0.62;
0.18;-0.06;0.18;-0.63;-0.47;0.63;
0.73;0.12;-0.49;-0.62;-0.48;0.63;
0.18;-0.24;-0.24;-0.62;-0.48;0.62;
0.43;0.30;-0.24;-0.63;-0.47;0.63;
-0.06;-0.06;-0.30;-0.63;-0.48;0.62;
0.85;-0.24;-0.06;-0.62;-0.47;0.62;
0.37;0.30;0.30;-0.62;-0.47;0.63;
0.18;-0.24;0.00;-0.62;-0.47;0.63;
0.18;0.12;0.24;-0.63;-0.47;0.62;
0.24;-0.18;-0.06;-0.63;-0.47;0.62;
0.49;0.24;-0.24;-0.62;-0.46;0.62;
0.73;-0.61;-0.85;-0.62;-0.47;0.63;
0.43;-0.73;0.06;-0.63;-0.47;0.62;
0.00;0.43;-0.55;-0.61;-0.46;0.63;
-0.43;-0.12;-0.67;-0.62;-0.47;0.63;
0.12;0.18;-0.06;-0.63;-0.48;0.63;
0.00;-0.06;-0.43;-0.62;-0.47;0.63;
0.91;-0.12;-0.43;-0.62;-0.47;0.64;
-0.12;0.18;-0.12;-0.61;-0.47;0.63;
0.18;-0.30;-0.67;-0.62;-0.47;0.63;
0.06;-0.73;0.06;-0.62;-0.47;0.62;
-0.24;-0.18;0.00;-0.62;-0.48;0.63;
0.12;0.12;-0.06;-0.62;-0.46;0.63;
-0.06;-0.61;-0.49;-0.62;-0.47;0.63;
0.12;-0.06;-0.49;-0.62;-0.47;0.63;
0.49;0.12;-0.55;-0.63;-0.47;0.63;
0.43;-0.55;0.24;-0.63;-0.46;0.63;
0.12;0.12;-0.06;-0.61;-0.47;0.63;
0.06;0.06;0.06;-0.62;-0.47;0.63;
-0.37;0.37;-0.30;-0.62;-0.46;0.63;
0.37;-0.18;-0.12;-0.62;-0.47;0.62;
0.43;-0.06;0.49;-0.61;-0.47;0.63;
-0.30;-0.43;-0.18;-0.62;-0.47;0.63;
0.30;-0.30;0.06;-0.62;-0.48;0.63;
