0.30;0.49;0.49;-0.08;-1.13;0.19
-1.10;0.49;3.60;-0.20;-1.10;0.16
37.32;5.12;49.63;-0.08;-1.26;0.39
14.02;8.29;1.04;-0.48;-0.93;0.32
1.16;-0.91;2.74;-0.40;-0.95;0.36
0.79;-0.18;0.43;-0.41;-0.95;0.35
0.98;-0.43;0.85;-0.40;-0.95;0.36
1.10;0.24;0.73;-0.40;-0.93;0.38
0.91;-0.12;0.79;-0.41;-0.94;0.37
-0.18;0.24;0.61;-0.40;-0.94;0.37
0.61;-0.18;0.67;-0.40;-0.93;0.37
-0.30;0.55;-0.43;-0.41;-0.94;0.37
0.00;-0.24;0.00;-0.40;-0.94;0.38
0.55;0.18;0.24;-0.41;-0.94;0.37
0.24;0.00;-0.24;-0.40;-0.95;0.38
0.06;0.18;0.24;-0.41;-0.94;0.37
0.06;0.37;-0.30;-0.41;-0.94;0.37
-0.73;0.55;-1.04;-0.41;-0.95;0.37
0.37;0.61;0.06;-0.40;-0.94;0.36
0.12;0.06;0.12;-0.40;-0.94;0.37
-0.18;-0.18;0.18;-0.41;-0.94;0.36
0.55;0.37;0.00;-0.41;-0.95;0.36
0.37;0.18;1.16;-0.40;-0.95;0.37
2.74;-0.18;1.65;-0.41;-0.93;0.36
-0.37;-0.37;-0.12;-0.41;-0.95;0.37
0.06;-0.37;0.00;-0.40;-0.95;0.37
0.37;0.24;-0.06;-0.41;-0.94;0.37
-0.24;0.37;-0.67;-0.41;-0.95;0.36
0.30;0.49;-0.30;-0.41;-0.94;0.37
0.67;-0.12;0.49;-0.40;-0.95;0.36
0.30;0.43;0.49;-0.41;-0.95;0.37
0.30;0.61;0.06;-0.41;-0.94;0.36
-0.12;0.18;0.00;-0.41;-0.94;0.36
0.55;0.12;-0.12;-0.40;-0.94;0.36
0.18;-0.30;-0.18;-0.41;-0.95;0.36
0.73;0.55;-0.30;-0.40;-0.95;0.36
0.18;0.55;0.06;-0.41;-0.95;0.36
0.73;0.24;0.00;-0.41;-0.94;0.37
1.22;-0.24;0.49;-0.40;-0.95;0.37
0.73;0.12;0.12;-0.41;-0.94;0.37
0.73;0.24;0.37;-0.40;-0.94;0.36
0.49;0.43;-0.12;-0.40;-0.94;0.36
0.06;0.00;-0.43;-0.41;-0.95;0.36
0.24;0.30;0.00;-0.41;-0.94;0.36
0.37;0.18;-0.49;-0.41;-0.95;0.36
0.37;0.37;0.18;-0.41;-0.95;0.36
0.73;0.55;0.30;-0.40;-0.94;0.37
0.91;-0.30;0.37;-0.41;-0.94;0.37
0.73;0.37;0.12;-0.40;-0.95;0.37
0.61;0.12;0.24;-0.41;-0.94;0.37
0.79;0.06;-0.12;-0.40;-0.95;0.36
0.30;-0.06;-0.18;-0.40;-0.95;0.36
0.00;0.55;-0.06;-0.41;-0.95;0.36
0.43;-0.18;0.30;-0.40;-0.94;0.37
0.12;0.55;-0.24;-0.41;-0.94;0.36
0.61;0.24;0.12;-0.40;-0.95;0.36
0.18;0.06;0.06;-0.40;-0.95;0.37
0.55;0.43;0.12;-0.41;-0.94;0.37
-0.30;0.55;-0.37;-0.41;-0.94;0.36
0.85;0.49;0.06;-0.41;-0.94;0.36
