0.30;0.18;-0.06;-0.18;-0.44;0.88;0.24;-0.06;-0.06;-0.19;-0.44;0.88;-0.12;0.06;0.55;-0.19;-0.44;0.88;0.00;0.24;-0.12;-0.19;-0.43;0.88;
-0.18;0.18;0.06;-0.19;-0.44;0.88;0.12;-0.18;0.06;-0.19;-0.44;0.87;0.12;0.37;-0.18;-0.19;-0.44;0.87;0.49;0.06;-0.30;-0.18;-0.44;0.89;
0.12;0.30;0.43;-0.19;-0.44;0.87;0.06;0.30;0.24;-0.19;-0.43;0.87;0.24;-0.06;0.49;-0.19;-0.45;0.88;0.12;0.24;0.49;-0.19;-0.44;0.87;
0.24;0.00;-0.06;-0.20;-0.44;0.87;-0.30;0.12;-0.18;-0.19;-0.43;0.87;-0.24;0.06;0.43;-0.19;-0.43;0.87;0.12;-0.06;0.00;-0.19;-0.43;0.87;
0.37;0.06;0.06;-0.19;-0.44;0.88;-0.12;0.24;-0.49;-0.19;-0.44;0.87;0.18;-0.30;-0.12;-0.19;-0.44;0.88;0.67;0.30;-0.24;-0.19;-0.45;0.88;
0.06;0.12;-0.24;-0.19;-0.44;0.88;-0.24;-0.06;0.06;-0.18;-0.44;0.88;-0.12;-0.24;-0.06;-0.19;-0.44;0.89;0.12;-0.30;0.37;-0.19;-0.43;0.88;
-0.30;0.30;0.24;-0.19;-0.44;0.87;0.73;0.00;0.24;-0.19;-0.43;0.88;0.00;0.12;0.06;-0.19;-0.45;0.88;0.06;0.30;0.55;-0.19;-0.44;0.88;
0.30;0.00;-0.24;-0.19;-0.44;0.89;-0.12;-0.43;0.06;-0.18;-0.44;0.87;-0.24;-0.06;0.12;-0.19;-0.44;0.88;-0.12;0.24;0.18;-0.19;-0.44;0.88;
0.12;0.18;0.43;-0.19;-0.44;0.88;0.06;-0.12;0.30;-0.19;-0.45;0.88;0.18;0.30;0.24;-0.20;-0.44;0.88;0.06;0.30;0.24;-0.19;-0.44;0.88;
0.12;0.12;0.30;-0.19;-0.44;0.88;0.12;0.37;-0.30;-0.19;-0.44;0.88;0.49;-0.37;0.18;-0.19;-0.43;0.88;0.43;-0.18;-0.18;-0.19;-0.44;0.88;
0.67;-0.18;0.37;-0.19;-0.44;0.88;0.24;-0.06;0.18;-0.19;-0.44;0.88;-0.12;0.00;-0.49;-0.19;-0.44;0.88;0.49;-0.06;0.18;-0.19;-0.44;0.87;
0.37;0.43;-0.12;-0.18;-0.44;0.88;-0.18;0.06;0.06;-0.19;-0.44;0.88;0.06;0.18;-0.06;-0.19;-0.44;0.87;0.37;-0.06;-0.06;-0.19;-0.44;0.88;
0.18;0.12;-0.12;-0.19;-0.44;0.88;-0.18;0.00;-0.12;-0.19;-0.44;0.88;0.61;0.06;0.24;-0.19;-0.43;0.89;-0.30;-0.30;-0.12;-0.19;-0.45;0.87;
0.18;0.00;0.43;-0.19;-0.44;0.88;0.00;0.00;0.00;-0.19;-0.44;0.87;0.61;-0.37;-0.55;-0.19;-0.45;0.88;-0.18;0.12;0.00;-0.19;-0.44;0.87;
0.43;0.12;-0.18;-0.19;-0.44;0.88;0.55;-0.43;-0.18;-0.19;-0.45;0.89;-0.24;-0.24;-0.18;-0.19;-0.44;0.88;0.67;-0.12;0.37;-0.19;-0.44;0.87;
0.30;0.37;-0.30;-0.19;-0.44;0.88;0.55;0.37;0.00;-0.18;-0.45;0.88;0.06;-0.24;0.00;-0.19;-0.44;0.88;0.06;0.18;-0.12;-0.19;-0.44;0.88;
-0.18;0.12;-0.49;-0.20;-0.44;0.88;0.12;0.00;-0.18;-0.19;-0.44;0.88;0.30;0.18;0.00;-0.19;-0.44;0.89;0.00;-0.12;-0.30;-0.19;-0.44;0.88;
0.18;0.43;-0.12;-0.19;-0.45;0.88;-0.18;0.30;-0.06;-0.19;-0.44;0.88;0.43;0.18;0.18;-0.19;-0.44;0.88;0.18;-0.06;0.61;-0.19;-0.44;0.89;
0.18;0.00;-0.24;-0.18;-0.44;0.88;-0.06;0.12;0.18;-0.19;-0.43;0.88;-0.06;0.18;0.00;-0.19;-0.44;0.87;0.12;0.00;0.43;-0.19;-0.45;0.88;
