-5.67;12.74;-13.11;-0.30;0.23;0.96
1.52;-1.65;4.88;-0.39;0.19;0.93
2.99;2.44;21.46;-0.43;0.22;0.90
2.87;1.83;1.28;-0.38;0.21;0.94
-2.07;1.71;-2.44;-0.40;0.24;0.91
0.85;-1.28;0.67;-0.40;0.25;0.91
0.12;-3.05;-0.73;-0.39;0.24;0.92
0.24;1.59;-3.11;-0.38;0.24;0.92
-3.90;-2.50;-8.84;-0.40;0.26;0.91
0.24;-7.68;-10.18;-0.39;0.23;0.91
-6.04;-5.37;-6.40;-0.40;0.19;0.90
8.72;2.87;7.38;-0.37;0.26;0.93
2.01;3.17;1.22;-0.35;0.28;0.89
-0.98;-0.98;-4.45;-0.40;0.27;0.91
-0.55;-2.20;1.71;-0.38;0.28;0.97
-2.32;5.24;-5.18;-0.37;0.28;0.90
0.43;0.18;-0.30;-0.36;0.27;0.91
-0.12;0.37;-0.55;-0.39;0.27;0.91
0.49;-1.65;3.23;-0.37;0.27;0.92
-0.98;0.12;-0.43;-0.36;0.28;0.91
-3.66;1.34;-4.57;-0.38;0.29;0.89
1.04;-3.41;-7.26;-0.34;0.29;0.91
-4.63;-1.65;-13.84;-0.37;0.28;0.95
0.91;1.95;-2.38;-0.37;0.30;0.91
0.00;0.00;0.00;0.00;0.00;0.00
-14.82;-0.43;-23.05;-0.35;0.29;0.89
9.70;2.99;11.22;-0.36;0.27;0.92
-2.01;-0.24;-0.30;-0.34;0.32;0.90
-0.06;0.61;-5.24;-0.33;0.32;0.91
0.85;-4.33;3.05;-0.36;0.31;0.90
-1.22;0.00;-3.23;-0.35;0.31;0.91
0.73;-0.91;-0.43;-0.35;0.30;0.90
1.10;0.43;-1.10;-0.33;0.31;0.92
-0.18;0.24;-1.28;-0.35;0.31;0.91
