-0.67;-0.37;0.18;-0.18;-0.01;-0.98;-0.24;-0.49;-0.18;-0.18;-0.01;-0.98;
-0.24;0.18;0.00;-0.18;-0.01;-0.97;-0.37;-1.04;0.12;-0.18;-0.01;-0.97;
-0.18;-0.49;-0.12;-0.17;-0.01;-0.97;0.00;0.00;-0.30;-0.18;-0.02;-0.98;
-0.12;0.43;-0.30;-0.18;-0.01;-0.98;-1.16;0.00;-0.18;-0.18;-0.01;-0.98;
-0.55;-0.24;0.37;-0.17;-0.02;-0.97;-0.18;-0.24;-0.18;-0.17;-0.01;-0.98;
-0.67;-0.06;0.43;-0.18;-0.01;-0.98;-0.24;-0.67;0.85;-0.18;-0.02;-0.98;
-0.49;0.00;-0.06;-0.17;-0.01;-0.97;-0.24;-0.18;0.00;-0.18;-0.02;-0.98;
-0.30;-0.55;0.06;-0.18;-0.01;-0.98;0.00;0.24;0.06;-0.17;-0.01;-0.97;
-0.49;-0.06;-0.18;-0.18;-0.02;-0.97;-0.85;-0.18;0.12;-0.18;-0.01;-0.97;
-0.79;-0.37;-0.30;-0.17;-0.01;-0.98;-0.18;-0.30;-0.12;-0.17;-0.01;-0.97;
0.67;-0.67;0.37;-0.17;-0.01;-0.98;-0.06;-0.67;0.12;-0.17;-0.01;-0.99;
-71.83;-94.15;17.87;-0.34;-0.10;-0.61;-250.24;-127.99;-320.79;-0.54;0.12;-0.70;
14.70;17.20;15.43;-0.50;-0.19;-0.66;4.02;-4.51;7.38;-0.53;-0.05;-0.93;
-3.05;-2.13;6.10;-0.54;-0.19;-0.90;10.06;6.83;6.59;-0.55;-0.22;-0.80;
2.56;25.91;20.61;-0.56;-0.46;-0.65;-4.02;1.28;14.88;-0.53;-0.29;-0.76;
-11.28;-64.70;-37.38;-0.60;0.12;-1.06;13.54;-73.23;-148.11;-0.70;-0.12;-0.73;
-64.94;-93.54;-154.94;-0.54;-0.19;-0.75;32.99;-11.59;-19.82;-0.71;-0.59;-0.48;
-177.50;-37.07;-251.10;-0.54;-0.20;-0.68;24.27;4.88;-4.21;-0.43;-0.68;-0.42;
-19.76;-15.43;12.13;-0.57;-0.15;-0.71;34.82;-28.60;283.41;-0.33;-0.92;-1.16;
64.39;58.96;322.50;-0.36;-1.08;-0.40;-54.63;-17.20;-258.78;-0.22;-0.67;-0.52;
357.01;-208.17;-194.82;0.14;2.00;0.14;-3.35;18.11;413.66;-0.28;-0.37;-0.78;
20.43;-5.67;16.40;-0.43;-0.36;-0.81;-16.46;-33.90;-9.02;-0.38;-0.27;-0.78;
