-0.55;0.06;0.12;-0.13;-0.03;-0.98;0.12;-0.18;0.24;-0.13;-0.04;-0.99;
-0.43;-0.06;0.24;-0.14;-0.03;-0.98;-0.06;0.12;0.49;-0.14;-0.03;-0.99;
-0.24;-0.18;-0.12;-0.14;-0.03;-0.99;-0.55;-0.43;0.06;-0.13;-0.03;-0.99;
-0.55;-0.12;0.49;-0.14;-0.03;-0.98;-0.06;0.00;-0.30;-0.13;-0.02;-0.98;
-0.18;0.24;-0.37;-0.14;-0.04;-0.98;0.00;-0.06;1.10;-0.13;-0.03;-0.99;
3.41;-3.84;14.82;-0.21;-0.01;-0.94;-4.02;31.83;4.39;-0.20;0.02;-1.10;
-56.95;-103.11;-226.46;-0.42;0.73;-1.34;33.35;-21.95;-31.10;-0.73;-0.72;-0.79;
106.77;-3.72;143.23;-0.51;-1.19;-1.02;34.94;19.39;15.73;-0.78;-0.30;-0.54;
-8.41;-5.00;0.85;-0.74;-0.32;-0.63;-42.38;29.82;-75.91;-0.59;-0.35;-0.81;
-11.59;3.35;-24.51;-0.60;-0.13;-0.52;5.91;-9.33;15.18;-0.47;-0.88;-0.90;
-26.89;62.74;-119.33;-0.46;-0.23;-0.63;19.33;-5.79;31.28;-0.41;-0.64;-0.78;
-58.05;49.45;-177.93;-0.39;0.06;-0.80;77.80;-68.41;231.46;-0.37;-0.78;-0.80;
-60.79;29.21;-192.20;-0.41;0.43;-0.54;40.61;-1.95;78.11;-0.46;-0.84;-0.84;
-38.35;3.90;-104.70;-0.46;0.17;-0.55;65.43;-18.84;141.59;-0.40;-0.74;-0.75;
-93.35;29.51;-250.61;-0.42;-0.18;-0.71;76.34;-45.06;194.82;-0.45;-0.48;-0.78;
7.68;-7.38;39.51;-0.51;0.22;-0.48;19.63;-8.48;32.38;-0.44;-0.73;-0.79;
-64.70;23.84;-153.48;-0.41;-0.08;-0.80;77.26;-44.21;210.18;-0.37;-0.60;-0.71;
-108.29;65.43;-339.21;-0.19;0.27;-0.46;52.93;-18.72;163.29;-0.34;-0.54;-0.69;
13.84;-8.78;18.41;-0.33;-0.68;-0.82;-5.24;21.16;-26.16;-0.42;-0.08;-0.77;
60.37;-2.93;127.93;-0.33;-0.54;-0.82;-47.26;32.50;-130.73;-0.35;-0.24;-0.78;
